year,trading_days,headlines,avg_sentiment,avg_next_day_return_pct,next_day_up_rate_pct
2008,106,141,-0.2401,-0.384,50.0
2009,90,113,-0.1425,0.299,58.9
2010,132,209,-0.0743,0.097,55.3
2011,216,547,-0.0463,0.015,55.6
2012,241,722,-0.0538,0.06,52.7
2013,241,775,-0.0227,0.096,58.5
2014,242,856,-0.0329,0.051,57.0
2015,243,818,-0.083,-0.004,48.1
2016,240,801,-0.0926,0.051,52.9
2017,228,704,-0.0313,0.079,57.5
2018,243,837,-0.0567,-0.023,52.3
2019,248,923,-0.024,0.108,59.3
2020,249,1515,-0.0124,0.075,56.6
2021,250,1301,0.0004,0.107,57.2
2022,251,2316,-0.1107,-0.079,42.6
2023,244,4748,-0.0937,0.092,54.9
2024,42,796,0.0126,0.19,59.5
